habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
median veins 	 Nervure médiane en crête saillante dessus; (6-)8-12(-15) paires de nervures secondaires;  nervilles médiocrement distinctes. 
inflorescences 	 Inflorescences axillaires en glomérules pauci- à pluriflores.
flowers 	 Fleurs rotacées vertes, jaunes, jaune orangé ou saumoné, de 6-8,5 mm dc diamètre.
pedicels 	 Pédicelle de (3-)6-11 mm, lisse ou micropapillifère.
buds 	 Bouton ové de 2,5-3,5 mm de largeur.
sepals 	 Sépales peu inégaux, obtus ou arrondis, entiers ou ± denticulés, larges de 1,5-2 mm.
petals 	 Pétales brièvement oblongs et ± anguleux, cambrés à la face supérieure, de 3-4 x 2,5-3,5 mm.
disk 	 Disque subpentagonal, en couronne charnue à léger rebord subeupuliforme ou patelliforme, marginé (zone papillifère ± distincte), de 2-3 mm de diamètre et sans sillon périgyne.
stamens 	 Étamines espacées à la base, longues de 1-2 mm, s'enroulant sur elles-mêmes.
anthers 	 Anthère à loges adhérentes disposées en angle obtus, large de 0,5-1 mm.
pistil 	 Pistil pyramidal atténué, haut de 1,3-2 mm, à stigmate ponctiforme ou trilobulé.
locules 	 Loges plus qu'à demi-enfoncées, contenant 4-5(6) ovules chacune.
fruits 	 Fruit rouge orangé ou corail, sphérique, de 3-5 cm de diamètre, orné d'un réseau ± serré de petites crêtes ou de rides crispées, à péricarpe de 2 mm d'épaisseur à sec, à graines ± nombreuses.
seeds 	 Graine de 18 x 15 x 8 mm, à cotylédons largement soudés tout autour.
habit 	 Arbuste de 3-5 m ou liane dépassant 5-20 m.
wood 	 Le bois qui dépasse 5-6 cm de diamètre est orné en coupe de cernes concentriques assez régulièrement espacés de 3-5 mm.
internodes 	 Entre-noeuds remarquablement ailés à ailes ondulées de 2-3 mm de largeur.
lamina base 	 Base du limbe obtuse, arrondie à subcordée.
lamina 	 Limbe souvent grand entre 14 et 28 cm de longueur, à 10-15 paires de nervures secondaires.
inflorescences 	 Inflorescences pluri- à multiflores jusqu'à former des bouquets sphériques de 3-4 cm de diamètre.
flowers 	 Fleurs vertes, vert jaune, ou ocre orangé devenant rougeâtres en fin d'anthèse; caractères floraux peu différents de la variété-type  mais avec des sépales plus nettement denticu-lés jusqu'à ciliés,  et des ovules au nombre de 4-6(7) par loge. 
fruits 	 Fruits de 4-6 cm de diamètre, à relief parfois submuriqué, parfois plutôt cristé.
habit 	 Liane glabre, dépourvue de caoutchouc.
juvenile shoots 	 Jeunes rameaux olivacés à sec, subcylindriques, quadrangulaires ou subailés, à épiderme finement ruguleux.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 4-13 mm, à étroites marges du canal un peu ondulées.
lamina 	 Limbe concolore ± olivacé à sec, subcoriace, elliptique, de 5-18 x 2,5-8 cm, à base ± aiguë à arrondie, à sommet acuminé, à marges denticulées.
secondary veins 	 Nervures secondaires 6-10 paires.
inflorescences 	 Fascicules floraux axillaires sessiles pauci- à multiflores.
buds 	 Bouton ové d'environ 2-3 mm en longueur et en largeur.
pedicels 	 Pédicelles lisses de 5-10 mm.
flowers 	 Fleurs jaunes ± vertes ou ± orangées, de 4-9 mm de diamètre.
sepals 	 Sépales un peu inégaux, pauciciliolés ou presque entiers, arrondis, larges de 1,1-1,7 mm, les externes plus petits.
petals 	 Pétales étalés ou un peu réfléchis, oblongs ou un peu anguleux, d'environ 2,2-4 x 1,4-3 mm.
disk 	 Disque en coussin bas patelliforme à contour subpentagonal, de 1,6-2,7 mm de diamètre.
stamens 	 Étamines espacées sans sillon périgyne, longues de 1-2 mm, à anthère large de 0,7 mm, déhiscentes en un chevron très obtus.
pistil 	 Pistil pyramidal de 0,8-2 mm de hauteur, à stigmate ponctiforme; loges demi-enfoncées contenant chacune 2-6 ovules ordinairement bisériés. 
fruits 	 Fruit globuleux de 2-5 cm de diamètre, à exocarpe épais, lisse ou ± orné de tubercules irréguliers, à 3 graines ou plus.
locules 	 Loges d'ovaire biovulées et à fascicules floraux parfois copieux, avec jusqu'à environ 40 fleurs.
note 	 Voir les caractères indiqués dans la clé des espèces .
disk 	 Disque en coussin à la fois étalé et ondulé ; pétales étroitement roulés en long par dessous ;  pédicelles de 3,9-4,8 mm ;  2 ovules par loge ;  sépales égaux subtentiers 
habit 	 Liane glabre, dépourvue de caoutchouc; jeunes entre-noeuds à 4 fines arêtes. 
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 6-9 mm à marges du canal presque droites ou médiocrement ondulées.
lamina 	 Limbe à sec brunâtre, foncé et vernissé dessus, elliptique, de 5,5-11 x 2,5-5 cm, à base très brièvement subaiguë, à sommet curieusement acuminé: acumen de 3-6 x 1 mm à marges bordées étroitement par dessus;  marges du limbe dentées faiblement à peu distinctement. 
secondary veins 	 Nervures secondaires 6-10 paires; fin réseau peu apparent, ou plus apparent dessus que dessous. 
inflorescences 	 Inflorescences en glomérules sessiles axillaires multiflores formant des bouquets sphériques de près de 2 cm de diamètre à chaque noeud.
pedicels 	 Pédicelles de 5-6 mm.
buds 	 Boutons ovés de 1,6-1,9x1,7-2 mm.
flowers 	 Fleurs jaunes de 3,5-4,5 mm de diamètre.
sepals 	 Sépales ovés, denticulés et un peu inégaux, larges de 0,7-1 mm.
petals 	 Pétales ovés ou oblongs à nervures principales parallèles, d'environ 2,5 x 1,5 mm, étalés puis réfléchis à Panthèse.
disk 	 Disque vert, circulaire, en coussinet de 1,5-1,7 mm de diamètre sur 0,4 mm d'épaisseur, marginé vers la mi-hauteur, pas nettement pourvu d'un sillon périgyne et à peine fossulé sous les loges d'anthères qui ne sont à son contact que dans le très jeune bouton.
stamens 	 Etamines de 1-1,2 mm, tordues sur elles-mêmes, espacées à la base, et munies d'une fossette adaxiale; anthères à loges conniventes, larges de 0,5 mm, déhiscentes par une fente formant un angle très ouvert. 
pistil 	 Pistil de 0,8-1,3 mm, pyramidal subulé sur 0,7 mm, à loges à demi ou moins qu'à demi-enfoncées.
ovules 	 Ovules deux superposés dans chaque loge.
fruits 	 Fruit non connu.
habit 	 Liane probable, à sève jaune soufre (d'où le nom).
leaves 	 Feuilles opposées oblongues de 10-12 x 5 cm, à pétiole de 10-12 mm (cm dans la diagnose).
lamina 	 Limbe aigu à la base, acuminé au sommet, avec le sommet de l'acumen un peu rétus; marge subentière, peu distinctement crénulée. 
secondary veins 	 Nervures secondaires 9-12 paires.
inflorescences 	 Fascicules floraux axillaires, pauciflores.
flowers 	 Fleurs médiocres, à pédicelle de 13-15 mm.
sepals 	 Sépales 5 inégaux, orbiculaires.
petals 	 Pétales 5 suborbiculaires de 3 mm environ, à limbe aminci et translucide de chaque côté de la base.
disk 	 Disque disciforme peu épais, faiblement pentagonal, et sans sillon périgyne.
stamens 	 Etamines 3 à filets élargis à la base, révolutés à l'anthèse; anthères petites à loges confluentes. 
ovary 	 Ovaire enfoncé dans le disque, à 3 ovules par loge; court pistil trigone pyramidal, à stigmate ponctiforme. 
fruits 	 Fruit non connu.
habit 	 Liane de 25-40 m de hauteur et plus de 100 m de longueur, glabre, sans caoutchouc (ou par exception quelques très rares filaments).
wood 	 Bois dépassant 12 cm de diamètre, orné en coupe de cernes concentriques un peu festonnés, espacés de 3-4 mm; écorce avec une mince couche orange. 
shoots 	 Rameaux subcylindriques lisses et olivacés, élargis vers les noeuds.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 8-20 mm, à bords du canal droits.
lamina 	 Limbe concolore vert olive ou olivâtre, elliptique de 8-18 x 3-9(10) cm, à base aiguë, plus rarement un peu obtuse, à acumen souvent médiocre et fréquemment rétréci vers l'extrémité, à marge entière ou parfois ± ondulés subentière.
secondary veins 	 Nervures secondaires 6-9 paires; fin réseau visible sur les deux faces à sec. 
inflorescences 	 Inflorescences en fascicules axillaires sessiles 1-10(15)-flores.
pedicels 	 Pédicelles de (4,5)6-15 mm.
buds 	 Bouton ovoïde ou subtronconico-ovoïde, de 2,5-3,5 mm de largeur.
flowers 	 Fleur subrotacée de (7)8-11 mm de diamètre, jaune, jaune vert ou verdâtre (jaune brunâtre chez le type Mildbraed 4705).
sepals 	 Sépales inégaux, plutôt courts, larges de 1,5-3 mm, les plus petits ovés, les plus grands largement arrondis, à marge érodée ciliolée ou pauciciliolée.
petals 	 Pétales (orangés chez Louis 14744) ovés de 3-5 x 2,5-3,9 mm, entiers, à nervures flabellés.
disk 	 Disque vert, un peu plus foncé vers le bord (marginé), en coussinet subcirculaire de 2,5-3 mm de diamètre, épais de 0,5 mm, ou un peu plus entre les pétales dont les bases sont embrassées.
furrows 	 Pas de sillon périgyne.
stamens 	 Étamines assez grêles atteignant 1,5-2 mm, à anthère de 0,6-0,9 mm de largeur, à loges confluentes déhiscentes en un chevron obtus.
pistil 	 Pistil pyramidal de 1-1,5 mm de hauteur, à stigmate ponctiforme.
locules 	 Loges de l'ovaire demi-enfoncées, à (3)4-6 ovules bisériées chacune.
fruits 	 Fruit globuleux de 3-5,5 cm de diamètre, à paroi très épaisse jusqu'à 8-9 mm, à ornementation surtout lobulée échinulée avec un réseau ± réduit de rides sinueuses.
seeds 	 Graines (1)3-6 à cotylédons entièrement soudés.
habit 	 Liane glabre dépourvue de caoutchouc, à rameaux âgés densément lenticellés.
petiole 	 Pétiole canaliculé de 8-10 mm, à canal étroit.
lamina 	 Limbe discolore et olivâtre dessus, de 10-20 x 4,5-10 cm, elliptique, à base largement cunéiforme ou presque arrondie, à sommet faiblement acuminé, à marge entière ou à peine serrulée de minuscules denticules.
inflorescences 	 Glomérules floraux axillaires sessiles 1-4-flores.
pedicels 	 Pédicelles de 10-17 mm, grêles.
buds 	 Bouton de 2,4 x 3 mm, ové.
flowers 	 Fleur de 8-9 mm de diamètre.
sepals 	 Sépales inégaux très bombés, les externes petits, larges de 1 mm, plutôt deltoïdes et paucidentés apicalement, les internes plus grands, obtus ou arrondis, entiers, larges de 1,3-2,3 mm.
petals 	 Pétales ovés elliptiques, étalés ou ± réfléchis, de 3-3,25 x 2,3 mm.
disk 	 Disque en collerette basale amincie et étalée, subpentagonale et sinueuse en vue latérale, de 2,3 mm de diamètre, surmonté par un coussin charnu de 1,5 mm de diamètre dépourvu de sillon périgyne.
long stamens 	 Étamines longues de 1,7-3 mm, à filet étroit; les filets sont un peu élargis à la base mais espacés à leur insertion sur le pseudodisque supérieur;  anthère subréniforme, large de 0,8 mm dans le bouton, à fente subtransversale, les deux loges étant confluentes. 
pistil 	 Pistil triédrique atténué en style court, environ 1 mm, à stigmate ponctiforme; les loges sont nettement enfoncées entre les niveaux de l'androcée et de la base du disque. (6)7-8 ovules bisériés par loge. 
fruits 	 Fruit inconnu.
rehydrated tissues 	 Les tissus floraux réhydratés sont jaune vert et pâles.
habit 	 Liane glabre dépourvue de caoutchouc, dépassant 5 m de hauteur, à rameaux âgés rudes, lenticellés, grisâtres, à jeunes entre-noeuds plutôt lisses et olivacés à sec.
leaves 	 Feuilles opposées à subopposées.
petiole 	 Pétiole de 5-8 mm, à marges du canal droites et pincées.
lamina 	 Limbe olivacé à sec, subcoriace, concolore ou un peu discolore, elliptique de 5-15 x 2-7 cm, à base moyennement à brièvement aiguë, à sommet acuminé ou sublancéolé, à l'extrémité de l'acumen épaissi par un petit callus du bout de la nervure médiane; marges du limbe entières ou très confusément crénelées. 
secondary veins 	 Nervures secondaires 7-10 paires; fin réticule très apparent sur les deux faces à sec. 
inflorescences 	 Inflorescences en glomérules axillaires sessiles (l)3-6-flores environ.
pedicels 	 Pédicelle de 4-6,5 mm; bouton ové de 2-2,2 mm, presque aussi large que long. 
flowers 	 Fleur de 6 mm de diamètre, blanc jaunâtre ou jaune.
sepals 	 Sépales inégaux, subaigus, ovés ou semi-circulaires, denticulés ciliolés, de 0,7--1,4 mm de large.
petals 	 Pétales ovés 2,5-2,9 x 2 mm, ± réfléchis.
disk 	 Disque en coussin circulaire de 1,5-1,8 mm de diamètre, à bord faiblement sinueux non marginé, marqué, assez nettement dans le bouton, d'un faible sillon périgyne.
stamens 	 Ëtamines de 1,5-2 mm, espacées à la base; anthère large de 0,5-0,6 mm, à fente en chevron à angle droit ou ± obtus. 
pistil 	 Pistil pyramidal subulé à stigmate ponctiforme.
locules 	 Loges à 3-5 ovules imbriqués bisériés.
fruits 	 Fruit tout à fait sphérique de 2,5-5,5 cm de diamètre, rouge ou orangé vif à maturité, ornementé d'un réseau de crêtes lamelleuses, torrueuses ou ± lobées; parois et cloisons jaunes en coupe in vivo. 
seeds 	 Graines 4-9 d'environ 1,5 x 1,5 cm, enrobées d'un mucilage abondant.
cotyledons 	 Cotylédons soudes blanc jaune clair en coupe.
habit 	 Liane élevée dépassant 3-20 m, glabre, dépourvue de caoutchouc.
wood 	 Bois orné en coupe, d'anneaux concentriques.
internodes 	 Entre-noeuds cylindriques ou anguleux, lisses et vert olive à sec.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétioles de 5-12 mm, à marges du canal droites.
lamina 	 Limbe subcoriace à coriace, vert olive concolore ou olivâtre dessus et un peu discolore, elliptique de 6-13 x 3-6 cm, à base aiguë, souvent très brièvement, à sommet acuminé, à marges entières ou très finement subcrénelées.
secondary veins 	 Nervures secondaires 6-10 paires; fin réseau souvent peu distinct. 
inflorescences 	 Inflorescences en glomérules axillaires sessiles 1-5-flores.
pedicels 	 Pédicelles de (3)5-15 mm.
buds 	 Bouton ové de 2,5-3,5(4) mm de diamètre.
flowers 	 Fleur subrotacée de 6-10 mm de diamètre, jaune vert ou jaune.
sepals 	 Sépales convexes charnus, ovés, entiers, très inégaux, larges de 1,2-3,9 mm, soit du simple au double dans la même fleur.
petals 	 Pétales oblongs variables, ± arrondis ou anguleux, de 3-4,8 x 2-4,5 mm, légèrement réfléchis à l'anthèse.
disk 	 Disque vert foncé ou brun, en coussinet circulaire à bords arrondis, de 2-3,5 mm de diamètre, non marginé, un peu fossulé sous les loges d'anthères qui sont en contact dans le bouton; pas ou presque pas de sillon périgyne. 
stamens 	 Étamines espacées à la base, longues d'environ 2 mm, à filets vert pâle; anthères orangées larges de 0,6-1 mm, à loges conniventes ou adhérentes, déhiscentes en un chevron droit ou légèrement obtus. 
pistil 	 Pistil pyramidal vert pâle de 1,5-2 mm, à stigmate ponctiforme; loges à demi ou aux trois-quart enfoncées, contenant chacune 4-6 ovules normalement bisériés. 
fruits 	 Fruit globuleux ou ové, de 3,5-5,5 x 3-4 cm, rouge orangé vif, d'ornementation très variable, granuleux, presque lisse, verruculeux, lamellé ou ± inégalement muriqué, avec ou non 3 crêtes longitudinales.
seeds 	 1-6 graines à cotylédons blanc crème soudés.
pericarp 	 Péricarpe 2-4 mm d'épaisseur à sec.
habit 	 Liane dépassant 1 cm de diamètre à bois de structure anormale à strie concentrique.
latex 	 Pas de caoutchouc.
internodes 	 Entre-noeuds glabres à 4(5) arêtes saillantes subaliformes, micropustuleux olivacés.
leaves 	 Feuilles opposées ou un peu subopposées.
petiole 	 Pétiole de 2-3(5) mm, à bords du canal finement ondulés.
lamina 	 Limbe de 2,5-7,5 x 1,5-3 mm (jusqu'à 9,5 x 4 mm au Zaïre), olivacé concolore à sec, obtus à arrondi à la base, à acumen de 4-8 mm, denté.
secondary veins 	 Nervures secondaires 5-8 paires.
inflorescences 	 Fascicules axillaires pauciflores (1-3 et jusqu'à 6 fleurs au Zaïre).
pedicels 	 Pédicelle de 3-5 mm, micropustuleux à sec.
buds 	 Bouton oblong de 1,8-2,8 x 1-1,5 mm.
flowers 	 Fleurs de 4-4,5 mm de diamètre, jaune orangé.
sepals 	 Sépales un peu inégaux, semi-orbiculaires denticulés.
petals 	 Pétales 5 étalés de 2-3 x 1 mm, parfois un peu anguleux au sommet.
disk 	 Disque jaune de près de 1 mm de diamètre, haussé en tonnelet par un petit androphore qui le sépare des deux étamines.
filaments 	 Filet rubané excurvé dépassant 1 mm; anthère orangée à 2 loges courtes en chevron à 90°. 
style 	 Style subconique rostré, de 1 mm, un peu comprimé entre les étamines.
ovary 	 Ovaire à 2 loges supérieures au disque (un peu enfoncées au Zaïre), chacune à 2 ovules superposés.
fruits 	 Fruit globuleux d'environ 1,5 cm de diamètre, contenant 1 ou 2 graines.
